query,_id,_score,name,summary,symbol
ENSG00000169248,6373,20.218142,C-X-C motif chemokine ligand 11,"Chemokines are a group of small (approximately 8 to 14 kD), mostly basic, structurally related molecules that regulate cell trafficking of various types of leukocytes through interactions with a subset of 7-transmembrane, G protein-coupled receptors. Chemokines also play fundamental roles in the development, homeostasis, and function of the immune system, and they have effects on cells of the central nervous system as well as on endothelial cells involved in angiogenesis or angiostasis. Chemokines are divided into 2 major subfamilies, CXC and CC. This antimicrobial gene is a CXC member of the chemokine superfamily. Its encoded protein induces a chemotactic response in activated T-cells and is the dominant ligand for CXC receptor-3. The gene encoding this protein contains 4 exons and at least three polyadenylation signals which might reflect cell-specific regulation of expression. IFN-gamma is a potent inducer of transcription of this gene. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Oct 2014].",CXCL11
ENSG00000198610,1109,20.150566,aldo-keto reductase family 1 member C4,"This gene encodes a member of the aldo/keto reductase superfamily, which consists of more than 40 known enzymes and proteins. These enzymes catalyze the conversion of aldehydes and ketones to their corresponding alcohols by utilizing NADH and/or NADPH as cofactors. The enzymes display overlapping but distinct substrate specificity. This enzyme catalyzes the bioreduction of chlordecone, a toxic organochlorine pesticide, to chlordecone alcohol in liver. This gene shares high sequence identity with three other gene members and is clustered with those three genes at chromosome 10p15-p14. [provided by RefSeq, Jul 2008].",AKR1C4
ENSG00000167767,144501,20.214474,keratin 80,"Keratins are intermediate filament proteins responsible for the structural integrity of epithelial cells and are subdivided into epithelial keratins and hair keratins. This gene's expression profile shows that it encodes a type II epithelial keratin, although structurally the encoded protein is more like a type II hair keratin. This protein is involved in cell differentiation, localizing near desmosomal plaques in earlier stages of differentiation but then dispersing throughout the cytoplasm in terminally differentiating cells. The type II keratins are clustered in a region of chromosome 12q13. Two transcript variants encoding two different fully functional isoforms have been found for this gene.[provided by RefSeq, Oct 2010].",KRT80
ENSG00000185269,147111,19.54568,"notum, palmitoleoyl-protein carboxylesterase",,NOTUM
ENSG00000170373,1469,20.97127,cystatin SN,"The cystatin superfamily encompasses proteins that contain multiple cystatin-like sequences. Some of the members are active cysteine protease inhibitors, while others have lost or perhaps never acquired this inhibitory activity. There are three inhibitory families in the superfamily, including the type 1 cystatins (stefins), type 2 cystatins and the kininogens. The type 2 cystatin proteins are a class of cysteine proteinase inhibitors found in a variety of human fluids and secretions, where they appear to provide protective functions. The cystatin locus on chromosome 20 contains the majority of the type 2 cystatin genes and pseudogenes. This gene is located in the cystatin locus and encodes a cysteine proteinase inhibitor found in saliva, tears, urine, and seminal fluid. [provided by RefSeq, Jul 2008].",CST1
ENSG00000139515,3651,20.219328,pancreatic and duodenal homeobox 1,"The protein encoded by this gene is a transcriptional activator of several genes, including insulin, somatostatin, glucokinase, islet amyloid polypeptide, and glucose transporter type 2. The encoded nuclear protein is involved in the early development of the pancreas and plays a major role in glucose-dependent regulation of insulin gene expression. Defects in this gene are a cause of pancreatic agenesis, which can lead to early-onset insulin-dependent diabetes mellitus (IDDM), as well as maturity onset diabetes of the young type 4 (MODY4). [provided by RefSeq, Aug 2017].",PDX1
ENSG00000155918,154064,20.15672,retinoic acid early transcript 1L,"RAET1L belongs to the RAET1 family of major histocompatibility complex (MHC) class I-related genes, which are located within a 180-kb cluster on chromosome 6q24.2-q25.3. The REAT1 genes encode glycoproteins that contain extracellular alpha-1 and alpha-2 domains, but they lack the membrane proximal Ig-like alpha-3 domain. Most RAET1 glycoproteins are anchored to the membrane via glycosylphosphatidylinositol (GPI) linkage (Radosavljevic et al., 2002 [PubMed 11827464]).[supplied by OMIM, Mar 2008].",RAET1L
ENSG00000219073,23436,20.204857,chymotrypsin like elastase 3B,"Elastases form a subfamily of serine proteases that hydrolyze many proteins in addition to elastin. Humans have six elastase genes which encode the structurally similar proteins elastase 1, 2, 2A, 2B, 3A, and 3B. Unlike other elastases, elastase 3B has little elastolytic activity. Like most of the human elastases, elastase 3B is secreted from the pancreas as a zymogen and, like other serine proteases such as trypsin, chymotrypsin and kallikrein, it has a digestive function in the intestine. Elastase 3B preferentially cleaves proteins after alanine residues. Elastase 3B may also function in the intestinal transport and metabolism of cholesterol. Both elastase 3A and elastase 3B have been referred to as protease E and as elastase 1, and excretion of this protein in fecal material is frequently used as a measure of pancreatic function in clinical assays. [provided by RefSeq, May 2009].",CELA3B
ENSG00000125398,6662,19.308992,SRY-box 9,"The protein encoded by this gene recognizes the sequence CCTTGAG along with other members of the HMG-box class DNA-binding proteins. It acts during chondrocyte differentiation and, with steroidogenic factor 1, regulates transcription of the anti-Muellerian hormone (AMH) gene. Deficiencies lead to the skeletal malformation syndrome campomelic dysplasia, frequently with sex reversal. [provided by RefSeq, Jul 2008].",SOX9
ENSG00000105464,2906,19.54568,glutamate ionotropic receptor NMDA type subunit 2D,"N-methyl-D-aspartate (NMDA) receptors are a class of ionotropic glutamate receptors. NMDA channel has been shown to be involved in long-term potentiation, an activity-dependent increase in the efficiency of synaptic transmission thought to underlie certain kinds of memory and learning. NMDA receptor channels are heteromers composed of the key receptor subunit NMDAR1 (GRIN1) and 1 or more of the 4 NMDAR2 subunits: NMDAR2A (GRIN2A), NMDAR2B (GRIN2B), NMDAR2C (GRIN2C), and NMDAR2D (GRIN2D). [provided by RefSeq, Mar 2010].",GRIN2D
ENSG00000273167,ENSG00000273167,20.992199,,,AL359736.1
ENSG00000184357,3009,19.637806,histone cluster 1 H1 family member b,"Histones are basic nuclear proteins responsible for nucleosome structure of the chromosomal fiber in eukaryotes. Two molecules of each of the four core histones (H2A, H2B, H3, and H4) form an octamer, around which approximately 146 bp of DNA is wrapped in repeating units, called nucleosomes. The linker histone, H1, interacts with linker DNA between nucleosomes and functions in the compaction of chromatin into higher order structures. This gene is intronless and encodes a replication-dependent histone that is a member of the histone H1 family. Transcripts from this gene lack polyA tails but instead contain a palindromic termination element. This gene is found in the small histone gene cluster on chromosome 6p22-p21.3. [provided by RefSeq, Aug 2015].",HIST1H1B
ENSG00000099953,4320,20.137043,matrix metallopeptidase 11,"Proteins of the matrix metalloproteinase (MMP) family are involved in the breakdown of extracellular matrix in normal physiological processes, such as embryonic development, reproduction, and tissue remodeling, as well as in disease processes, such as arthritis and metastasis. Most MMP's are secreted as inactive proproteins which are activated when cleaved by extracellular proteinases. However, the enzyme encoded by this gene is activated intracellularly by furin within the constitutive secretory pathway. Also in contrast to other MMP's, this enzyme cleaves alpha 1-proteinase inhibitor but weakly degrades structural proteins of the extracellular matrix. [provided by RefSeq, Jul 2008].",MMP11
ENSG00000157005,6750,19.310446,somatostatin,"The hormone somatostatin has active 14 aa and 28 aa forms that are produced by alternate cleavage of the single preproprotein encoded by this gene. Somatostatin is expressed throughout the body and inhibits the release of numerous secondary hormones by binding to high-affinity G-protein-coupled somatostatin receptors. This hormone is an important regulator of the endocrine system through its interactions with pituitary growth hormone, thyroid stimulating hormone, and most hormones of the gastrointestinal tract. Somatostatin also affects rates of neurotransmission in the central nervous system and proliferation of both normal and tumorigenic cells. [provided by RefSeq, Jul 2008].",SST
ENSG00000162344,9965,18.65488,fibroblast growth factor 19,"The protein encoded by this gene is a member of the fibroblast growth factor (FGF) family. FGF family members possess broad mitogenic and cell survival activities, and are involved in a variety of biological processes including embryonic development cell growth, morphogenesis, tissue repair, tumor growth and invasion. This growth factor is a high affinity, heparin dependent ligand for FGFR4. Expression of this gene was detected only in fetal but not adult brain tissue. Synergistic interaction of the chick homolog and Wnt-8c has been shown to be required for initiation of inner ear development. [provided by RefSeq, Jul 2008].",FGF19
ENSG00000215695,6248,20.217848,regulator of solute carriers 1,"The protein encoded by this intronless gene inhibits the expression of the solute carrier family 5 (sodium/glucose cotransporter), member 1 gene (SLC5A1) and downregulates exocytosis of the SLC5A1 protein. The encoded protein is sometimes found coating the trans-Golgi network and other times is localized to the nucleus, depending on the cell cycle stage. This protein also inhibits the expression of solute carrier family 22 (organic cation transporter), member 2 (SLC22A2). [provided by RefSeq, Dec 2015].",RSC1A1
ENSG00000109133,55161,19.678885,transmembrane protein 33,,TMEM33
ENSG00000249773,ENSG00000249773,20.930513,,,AC092647.5
ENSG00000164924,7534,19.304081,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta,"This gene product belongs to the 14-3-3 family of proteins which mediate signal transduction by binding to phosphoserine-containing proteins. This highly conserved protein family is found in both plants and mammals, and this protein is 99% identical to the mouse, rat and sheep orthologs. The encoded protein interacts with IRS1 protein, suggesting a role in regulating insulin sensitivity. Several transcript variants that differ in the 5' UTR but that encode the same protein have been identified for this gene. [provided by RefSeq, Oct 2008].",YWHAZ
ENSG00000182333,8513,20.126312,"lipase F, gastric type","This gene encodes gastric lipase, an enzyme involved in the digestion of dietary triglycerides in the gastrointestinal tract, and responsible for 30% of fat digestion processes occurring in human. It is secreted by gastric chief cells in the fundic mucosa of the stomach, and it hydrolyzes the ester bonds of triglycerides under acidic pH conditions. The gene is a member of a conserved gene family of lipases that play distinct roles in neutral lipid metabolism. Several transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Nov 2010].",LIPF
ENSG00000111700,28234,19.68537,solute carrier organic anion transporter family member 1B3,"This gene encodes a liver-specific member of the organic anion transporter family. The encoded protein is a transmembrane receptor that mediates the sodium-independent uptake of endogenous and xenobiotic compounds and plays a critical role in bile acid and bilirubin transport. Mutations in this gene are a cause of Rotor type hyperbilirubinemia. Alternative splicing of this gene and the use of alternative promoters results in transcript variants encoding different isoforms that differ in their tissue specificity. [provided by RefSeq, Mar 2017].",SLCO1B3
ENSG00000137673,4316,20.210634,matrix metallopeptidase 7,"This gene encodes a member of the peptidase M10 family of matrix metalloproteinases (MMPs). Proteins in this family are involved in the breakdown of extracellular matrix in normal physiological processes, such as embryonic development, reproduction, and tissue remodeling, as well as in disease processes, such as arthritis and metastasis. The encoded preproprotein is proteolytically processed to generate the mature protease. This secreted protease breaks down proteoglycans, fibronectin, elastin and casein and differs from most MMP family members in that it lacks a conserved C-terminal hemopexin domain. The enzyme is involved in wound healing, and studies in mice suggest that it regulates the activity of defensins in intestinal mucosa. The gene is part of a cluster of MMP genes on chromosome 11. This gene exhibits elevated expression levels in multiple human cancers. [provided by RefSeq, Jan 2016].",MMP7
ENSG00000161634,117159,20.136175,dermcidin,"This antimicrobial gene encodes a secreted protein that is subsequently processed into mature peptides of distinct biological activities. The C-terminal peptide is constitutively expressed in sweat and has antibacterial and antifungal activities. The N-terminal peptide, also known as diffusible survival evasion peptide, promotes neural cell survival under conditions of severe oxidative stress. A glycosylated form of the N-terminal peptide may be associated with cachexia (muscle wasting) in cancer patients. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Oct 2014].",DCD
ENSG00000071203,54860,20.184536,membrane spanning 4-domains A12,"The protein encoded by this gene is a cell surface protein found primarily in the apical membrane of colonocytes. Silencing of this gene in colon cancer cells inhibits the proliferation, cell motility, and chemotactic invasion of cells. This gene is part of a cluster of similar genes found on chromosome 11. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Aug 2009].",MS4A12
ENSG00000159263,6493,19.224144,SIM bHLH transcription factor 2,"This gene represents a homolog of the Drosophila single-minded (sim) gene, which encodes a transcription factor that is a master regulator of neurogenesis. The encoded protein is ubiquitinated by RING-IBR-RING-type E3 ubiquitin ligases, including the parkin RBR E3 ubiquitin protein ligase. This gene maps within the so-called Down syndrome chromosomal region, and is thus thought to contribute to some specific Down syndrome phenotypes. Alternative splicing of this gene results in multiple transcript variants. [provided by RefSeq, Sep 2014].",SIM2
ENSG00000183742,346389,20.915365,MET transcriptional regulator MACC1,"MACC1 is a key regulator of the hepatocyte growth factor (HGF; MIM 142409)-HGF receptor (HGFR, or MET; MIM 164860) pathway, which is involved in cellular growth, epithelial-mesenchymal transition, angiogenesis, cell motility, invasiveness, and metastasis. Expression of MACC1 in colon cancer (MIM 114500) specimens is an independent prognostic indicator for metastasis formation and metastasis-free survival (Stein et al., 2009 [PubMed 19098908]).[supplied by OMIM, Mar 2009].",MACC1
ENSG00000215182,4586,19.68537,"mucin 5AC, oligomeric mucus/gel-forming",,MUC5AC
ENSG00000176842,10265,20.85899,iroquois homeobox 5,"This gene encodes a member of the iroquois homeobox gene family, which are involved in several embryonic developmental processes. Knockout mice lacking this gene show that it is required for retinal cone bipolar cell differentiation, and that it negatively regulates potassium channel gene expression in the heart to ensure coordinated cardiac repolarization. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Nov 2011].",IRX5
ENSG00000176533,2788,19.261065,G protein subunit gamma 7,,GNG7
ENSG00000197587,127343,20.951118,diencephalon/mesencephalon homeobox 1,"This gene encodes a member of the bicoid sub-family of homeodomain-containing transcription factors. The encoded protein acts as a transcription factor and may play a role in brain and sensory organ development. Two transcript variants encoding distinct isoforms have been identified for this gene. [provided by RefSeq, Jul 2008].",DMBX1
ENSG00000256966,ENSG00000256966,20.926992,,,AL513165.2
ENSG00000129455,11202,20.052204,kallikrein related peptidase 8,"Kallikreins are a subgroup of serine proteases having diverse physiological functions. Growing evidence suggests that many kallikreins are implicated in carcinogenesis and some have potential as novel cancer and other disease biomarkers. This gene is one of the fifteen kallikrein subfamily members located in tandem in a gene cluster on chromosome 19. The encoded protein may be involved in proteolytic cascade in the skin and may serve as a biomarker for ovarian cancer. Alternate splicing of this gene results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Jul 2013].",KLK8
ENSG00000197172,4105,20.99868,MAGE family member A6,"This gene is a member of the MAGEA gene family. The members of this family encode proteins with 50 to 80% sequence identity to each other. The promoters and first exons of the MAGEA genes show considerable variability, suggesting that the existence of this gene family enables the same function to be expressed under different transcriptional controls. The MAGEA genes are clustered at chromosomal location Xq28. They have been implicated in some hereditary disorders, such as dyskeratosis congenita. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Aug 2013].",MAGEA6
ENSG00000171617,8507,19.6911,ectodermal-neural cortex 1,"This gene encodes a member of the kelch-related family of actin-binding proteins. The encoded protein plays a role in the oxidative stress response as a regulator of the transcription factor Nrf2, and expression of this gene may play a role in malignant transformation. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene. [provided by RefSeq, Feb 2012].",ENC1
ENSG00000267059,ENSG00000267059,20.992199,,,AC005943.1
ENSG00000113946,10686,20.181303,claudin 16,"Tight junctions represent one mode of cell-to-cell adhesion in epithelial or endothelial cell sheets, forming continuous seals around cells and serving as a physical barrier to prevent solutes and water from passing freely through the paracellular space. These junctions are comprised of sets of continuous networking strands in the outwardly facing cytoplasmic leaflet, with complementary grooves in the inwardly facing extracytoplasmic leaflet. The protein encoded by this gene, a member of the claudin family, is an integral membrane protein and a component of tight junction strands. It is found primarily in the kidneys, specifically in the thick ascending limb of Henle, where it acts as either an intercellular pore or ion concentration sensor to regulate the paracellular resorption of magnesium ions. Defects in this gene are a cause of primary hypomagnesemia, which is characterized by massive renal magnesium wasting with hypomagnesemia and hypercalciuria, resulting in nephrocalcinosis and renal failure. This gene and the CLDN1 gene are clustered on chromosome 3q28. [provided by RefSeq, Jun 2010].",CLDN16
ENSG00000168484,6440,20.135212,surfactant protein C,"This gene encodes the pulmonary-associated surfactant protein C (SPC), an extremely hydrophobic surfactant protein essential for lung function and homeostasis after birth. Pulmonary surfactant is a surface-active lipoprotein complex composed of 90% lipids and 10% proteins which include plasma proteins and apolipoproteins SPA, SPB, SPC and SPD. The surfactant is secreted by the alveolar cells of the lung and maintains the stability of pulmonary tissue by reducing the surface tension of fluids that coat the lung. Multiple mutations in this gene have been identified, which cause pulmonary surfactant metabolism dysfunction type 2, also called pulmonary alveolar proteinosis due to surfactant protein C deficiency, and are associated with interstitial lung disease in older infants, children, and adults. Alternatively spliced transcript variants encoding different protein isoforms have been identified.[provided by RefSeq, Feb 2010].",SFTPC
ENSG00000095917,23430,20.126312,tryptase delta 1,"Tryptases comprise a family of trypsin-like serine proteases, the peptidase family S1. Tryptases are enzymatically active only as heparin-stabilized tetramers, and they are resistant to all known endogenous proteinase inhibitors. Several tryptase genes are clustered on chromosome 16p13.3. These genes are characterized by several distinct features. They have a highly conserved 3' UTR and contain tandem repeat sequences at the 5' flank and 3' UTR which are thought to play a role in regulation of the mRNA stability. Although this gene may be an exception, most of the tryptase genes have an intron immediately upstream of the initiator Met codon, which separates the site of transcription initiation from protein coding sequence. This feature is characteristic of tryptases but is unusual in other genes. Tryptases have been implicated as mediators in the pathogenesis of asthma and other allergic and inflammatory disorders. This gene was once considered to be a pseudogene, although it is now believed to be a functional gene that encodes a protein. [provided by RefSeq, Jul 2008].",TPSD1
ENSG00000142973,1580,19.632963,cytochrome P450 family 4 subfamily B member 1,"This gene encodes a member of the cytochrome P450 superfamily of enzymes. The cytochrome P450 proteins are monooxygenases which catalyze many reactions involved in drug metabolism and synthesis of cholesterol, steroids and other lipids. This protein localizes to the endoplasmic reticulum. In rodents, the homologous protein has been shown to metabolize certain carcinogens; however, the specific function of the human protein has not been determined. Multiple transcript variants have been found for this gene. [provided by RefSeq, Jan 2016].",CYP4B1
ENSG00000166415,256764,21.013268,WD repeat domain 72,"This gene encodes a protein with eight WD-40 repeats. Mutations in this gene have been associated with amelogenesis imperfecta hypomaturation type 2A3. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Mar 2013].",WDR72
ENSG00000160282,10841,19.665506,formimidoyltransferase cyclodeaminase,"The protein encoded by this gene is a bifunctional enzyme that channels 1-carbon units from formiminoglutamate, a metabolite of the histidine degradation pathway, to the folate pool. Mutations in this gene are associated with glutamate formiminotransferase deficiency. Alternatively spliced transcript variants have been found for this gene.[provided by RefSeq, Dec 2009].",FTCD
ENSG00000185247,4110,20.194576,MAGE family member A11,"This gene is a member of the MAGEA gene family. The members of this family encode proteins with 50 to 80% sequence identity to each other. The promoters and first exons of the MAGEA genes show considerable variability, suggesting that the existence of this gene family enables the same function to be expressed under different transcriptional controls. The MAGEA genes are clustered at chromosomal location Xq28. They have been implicated in some hereditary disorders, such as dyskeratosis congenita. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008].",MAGEA11
ENSG00000182968,6656,19.607492,SRY-box 1,"This intronless gene encodes a member of the SOX (SRY-related HMG-box) family of transcription factors involved in the regulation of embryonic development and in the determination of the cell fate. The encoded protein may act as a transcriptional activator after forming a protein complex with other proteins. In mice, a similar protein regulates the gamma-crystallin genes and is essential for lens development. [provided by RefSeq, Jul 2008].",SOX1
ENSG00000163209,6707,20.150566,small proline rich protein 3,,SPRR3
ENSG00000164283,11082,19.232426,endothelial cell specific molecule 1,"This gene encodes a secreted protein which is mainly expressed in the endothelial cells in human lung and kidney tissues. The expression of this gene is regulated by cytokines, suggesting that it may play a role in endothelium-dependent pathological disorders. The transcript contains multiple polyadenylation and mRNA instability signals. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Oct 2008].",ESM1
ENSG00000157766,176,19.228567,aggrecan,"This gene is a member of the aggrecan/versican proteoglycan family. The encoded protein is an integral part of the extracellular matrix in cartilagenous tissue and it withstands compression in cartilage. Mutations in this gene may be involved in skeletal dysplasia and spinal degeneration. Multiple alternatively spliced transcript variants that encode different protein isoforms have been observed in this gene. [provided by RefSeq, Jul 2008].",ACAN
ENSG00000170369,1470,19.650602,cystatin SA,"The cystatin superfamily encompasses proteins that contain multiple cystatin-like sequences. Some of the members are active cysteine protease inhibitors, while others have lost or perhaps never acquired this inhibitory activity. There are three inhibitory families in the superfamily, including the type 1 cystatins (stefins), type 2 cystatins and the kininogens. The type 2 cystatin proteins are a class of cysteine proteinase inhibitors found in a variety of human fluids and secretions, where they appear to provide protective functions. The cystatin locus on chromosome 20 contains the majority of the type 2 cystatin genes and pseudogenes. This gene is located in the cystatin locus and encodes a secreted thiol protease inhibitor found at high levels in saliva, tears and seminal plasma. [provided by RefSeq, Jul 2008].",CST2
ENSG00000265118,ENSG00000265118,21.011106,,,AC134669.1
ENSG00000163497,54738,20.123207,"FEV transcription factor, ETS family member","This gene belongs to the ETS transcription factor family. ETS family members have a highly conserved 85-amino acid ETS domain that binds purine-rich DNA sequences. The alanine-rich C-terminus of this gene indicates that it may act as a transcription repressor. This gene is exclusively expressed in neurons of the central serotonin (5-HT) system, a system implicated in the pathogeny of such psychiatric diseases as depression, anxiety, and eating disorders. In some types of Ewing tumors, this gene is fused to the Ewing sarcoma (EWS) gene following chromosome translocations. [provided by RefSeq, Jul 2008].",FEV
ENSG00000111481,22818,19.683325,coatomer protein complex subunit zeta 1,"This gene encodes a subunit of the cytoplasmic coatamer protein complex, which is involved in autophagy and intracellular protein trafficking. The coatomer protein complex is comprised of seven subunits and functions as the coat protein of coat protein complex (COP)I-vesicles. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Nov 2012].",COPZ1
ENSG00000167916,192666,20.13311,keratin 24,"This gene encodes a member of the type I (acidic) keratin family, which belongs to the superfamily of intermediate filament (IF) proteins. Keratins are heteropolymeric structural proteins which form the intermediate filament. These filaments, along with actin microfilaments and microtubules, compose the cytoskeleton of epithelial cells. The type I keratin genes are clustered in a region of chromosome 17q12-q21. [provided by RefSeq, Jun 2009].",KRT24
ENSG00000166984,401285,20.139635,t-complex 10 like 2,,TCP10L2
ENSG00000134827,6947,20.200418,transcobalamin 1,"This gene encodes a member of the vitamin B12-binding protein family. This family of proteins, alternatively referred to as R binders, is expressed in various tissues and secretions. This protein is a major constituent of secondary granules in neutrophils and facilitates the transport of cobalamin into cells. [provided by RefSeq, Jul 2008].",TCN1
ENSG00000167755,5653,19.697796,kallikrein related peptidase 6,"This gene encodes a member of the kallikrein subfamily of the peptidase S1 family of serine proteases. Growing evidence suggests that many kallikreins are implicated in carcinogenesis and some have potential as novel cancer and other disease biomarkers. The encoded preproprotein is proteolytically processed to generate the mature protease. Expression of this protease is regulated by steroid hormones and may be elevated in multiple human cancers and in serum from psoriasis patients. The encoded protease may participate in the cleavage of amyloid precursor protein and alpha-synuclein, thus implicating this protease in Alzheimer's and Parkinson's disease, respectively. This gene is located in a gene cluster on chromosome 19. Alternative splicing results in multiple transcript variants, at least one of which encodes an isoform that is proteolytically processed. [provided by RefSeq, Feb 2016].",KLK6
ENSG00000204518,343066,20.926992,arylacetamide deacetylase like 4,,AADACL4
ENSG00000183034,92736,20.972004,otopetrin 2,,OTOP2
ENSG00000128610,389549,20.13311,FEZ family zinc finger 1,"This gene encodes a transcriptional repressor that belongs to the zinc finger double domain protein family. The encoded protein is thought to play a role in the embryonic migration of gonadotropin-releasing hormone neurons into the brain. Mutations in this gene are associated with hypogonadotropic hypogonadism-22 with anosmia. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Oct 2014].",FEZF1
ENSG00000187922,414332,21.013268,lipocalin 10,"Members of the lipocalin family, such as LCN10, have a common structure consisting of an 8-stranded antiparallel beta-barrel that forms a cup-shaped ligand-binding pocket or calyx. Lipocalins generally bind small hydrophobic ligands and transport them to specific cells (Suzuki et al., 2004 [PubMed 15363845]).[supplied by OMIM, Aug 2009].",LCN10
ENSG00000174015,220082,19.606363,spermatid associated,,SPERT
ENSG00000161133,373856,19.604681,ubiquitin specific peptidase 41,,USP41
ENSG00000243480,279,21.00992,amylase alpha 2A (pancreatic),"This gene encodes a member of the alpha-amylase family of proteins. Amylases are secreted proteins that hydrolyze 1,4-alpha-glucoside bonds in oligosaccharides and polysaccharides, catalyzing the first step in digestion of dietary starch and glycogen. This gene and several family members are present in a gene cluster on chromosome 1. This gene encodes an amylase isoenzyme produced by the pancreas. [provided by RefSeq, Jan 2015].",AMY2A
ENSG00000096088,5225,20.180223,progastricsin,"This gene encodes an aspartic proteinase that belongs to the peptidase family A1. The encoded protein is a digestive enzyme that is produced in the stomach and constitutes a major component of the gastric mucosa. This protein is also secreted into the serum. This protein is synthesized as an inactive zymogen that includes a highly basic prosegment. This enzyme is converted into its active mature form at low pH by sequential cleavage of the prosegment that is carried out by the enzyme itself. Polymorphisms in this gene are associated with susceptibility to gastric cancers. Serum levels of this enzyme are used as a biomarker for certain gastric diseases including Helicobacter pylori related gastritis. Alternate splicing results in multiple transcript variants. A pseudogene of this gene is found on chromosome 1. [provided by RefSeq, Oct 2009].",PGC
